"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Table 8.12 - Own brand shares (food only) for leading retailers, 1996","1","0","0","1","3","12","0","1","3","1","heading"
"Source: Secodip-linéaires, 1997","0","0","0","1","2","3","0","0","2","0","paragraph"
"Table 8.13 illustrates the development of own brand market shares in supermarkets and hypermarkets:","0","0","0","1","3","14","0","1","5","1","paragraph"
"Table 8.13 - National brands, Own brand and low price items shares for supermarkets and","1","0","0","1","3","15","0","1","5","1","heading"
"hypermarkets","1","0","0","1","0","1","0","0","1","0","heading"
"Own brands growth is a major trend in the recent evolution of distribution. In 1995, own brands provided","0","0","0","1","3","18","0","1","5","0","paragraph"
"on average 20% of sales (25% of shelf space) compared to only 10% ten years before and the development","0","0","0","1","0","19","0","1","6","0","paragraph"
"goes on. Leclerc, for instance, which was initially opposed to own brand development (less than 7% of","0","0","0","1","3","17","0","3","4","0","paragraph"
"sales before 1997 were own brand), changed its strategy in 1997 and its goal is now to double its own","0","0","0","1","0","20","0","2","4","0","paragraph"
"brands turnover. Retailers try to reinforce the association between their name and their own products.","0","0","0","1","3","15","0","2","5","0","paragraph"
"Table 8.14 gives own brands market shares for the main retailers in 1993.","0","0","0","1","3","13","0","1","3","1","paragraph"
"Table 8.14 - Own brand shares for leading retailers, 1993","1","0","0","1","3","10","0","1","2","1","heading"
"As noted above, retailers set higher margins on own brands than on other brands even if retail prices are","0","0","0","1","3","19","0","2","5","0","paragraph"
"lower. According to ICC 95, the mark up rate fixed by retailers is estimated on average at 23% of the","0","0","0","1","3","20","0","3","4","0","paragraph"
"turnover for own brands, 15% for low price products and 14.5% for national brands. Moreover, shelf","0","0","0","1","3","16","0","0","6","0","paragraph"
"space profitability is higher: if the gross mark-up per square meter of shelf space index is 100 then own","0","0","0","1","0","19","0","0","3","1","paragraph"
"brands profitability is 123, low price items profitability is 63 and national brands profitability is 103.","0","0","0","1","0","16","0","0","3","3","paragraph"
"8.5 Internationalisation","1","0","0","1","2","2","0","0","1","0","heading"
