"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"MODERNIZING GOVERNMENT","0","1","0","1","1","2","0","0","1","0","heading"
"FOR THE 21ST CENTURY","0","1","0","1","1","4","0","0","1","1","heading"
"WHERE WE ARE: FEDERAL CONTEXT","0","0","0","1","1","5","0","1","2","0","heading"
"When America’s Founders established the","0","0","0","1","3","5","0","1","2","0","paragraph"
"Constitution, they laid out a clear mission for the","0","0","0","1","3","9","0","1","2","0","paragraph"
"Federal Government, from providing for the com-","0","0","0","1","3","7","0","1","2","0","paragraph"
"mon defense to securing the blessings of liberty.","0","0","0","1","0","8","0","1","4","0","paragraph"
"To this day, the business of Government remains","0","0","0","1","3","8","0","1","3","0","paragraph"
"to serve the American people by meeting their ex-","0","0","0","1","3","9","0","2","1","0","paragraph"
"pectations in these foundational mission areas.","0","0","0","1","0","6","0","0","2","0","paragraph"
"Nearly two decades into the 21st Century, the","0","0","0","1","3","8","0","0","2","0","paragraph"
"public still believes that the Federal Government","0","0","0","1","3","7","0","1","0","0","paragraph"
"serves critical roles and, in some areas, does","0","0","0","1","0","8","0","1","2","0","paragraph"
"them well.1 Yet public trust in the Federal","0","0","0","1","3","8","0","1","3","0","paragraph"
"Government continues to decline, sitting at near-","0","0","0","1","3","7","0","3","1","0","paragraph"
"historic lows.2 The Nation faces a significant","0","0","0","1","3","7","0","1","2","0","paragraph"
"national debt and annual deficits that require","0","0","0","1","0","7","0","1","2","0","paragraph"
"Government to change how it operates.","0","0","0","1","3","6","0","2","2","0","paragraph"
"HOW WE GOT HERE: ROOT CAUSE","0","0","0","1","1","6","0","1","1","0","paragraph"
"CHALLENGES AND EFFECTS","0","0","0","1","1","3","0","0","2","0","paragraph"
"Many of the Federal Government’s challenges","0","0","0","1","3","6","0","0","1","0","paragraph"
"and shortcomings arise from practices designed","0","0","0","1","0","6","0","2","2","0","paragraph"
