"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Technical assistance financed by ISPA therefore represents a much larger effort than JASPERS, and over a","0","0","0","1","3","16","0","2","4","0","paragraph"
"shorter period of time.","0","0","0","1","0","4","0","0","2","0","paragraph"
"FEMIP Support Fund TA","0","0","0","1","2","4","0","0","1","0","paragraph"
"The technical assistance provided by the FEMIP support fund is of a different nature. Under the FEMIP","0","0","0","1","3","17","0","1","4","0","paragraph"
"Support Fund, all technical assistance operations have a link to ongoing or future investment projects.","0","0","0","1","3","15","0","0","4","0","paragraph"
"Allocation of TA operations in terms of volume (financed from the budgets 2003 – 2006)","1","0","0","1","3","15","0","1","5","1","heading"
"Source: FEMIP Support Fund, Annual Report 2009","0","0","0","1","2","7","0","0","3","0","paragraph"
"The envelope of the FEMIP Support Fund (EUR 105 m) is estimated16 to allow the Bank to provide technical","0","0","0","1","3","19","0","3","4","0","paragraph"
"assistance for investments with an overall volume of EUR 10","0","0","0","1","3","10","0","0","4","0","paragraph"
"estimated to represent 1% of the cost of the projects it supports.","0","0","0","1","0","12","0","3","4","0","paragraph"
"16","0","0","0","1","2","1","1","0","0","1","paragraph"
"FEMIP Support Fund Annual Report 2009, section 2.1","0","0","0","1","3","8","0","0","2","1","paragraph"
"61","0","1","0","1","2","1","1","0","0","1","paragraph"
"bn. Therefore in broad terms the TA is","0","0","0","1","3","8","0","1","2","0","paragraph"
